PUBYEAR,ARTICLE_TYPE,TOTAL_NUMBER_OF_ITEMS,NUMBER_OF_NULLS,NUMBER_OF_DOIS
1955,biographical-item,1,1,0
1953,discussion,4,4,0
2009,retraction,3,1,2
2000,bibliography,689,689,0
2017,data paper,177,1,176
2008,book,188,107,81
2004,book,7,2,5
2003,book,11,7,4
2015,data paper,27,0,27
1998,record review,2602,2602,0
1985,chronology,65,65,0
1989,hardware review,357,357,0
1991,"tv review, radio review",3,3,0
1992,music score review,452,452,0
2003,script,43,43,0
2003,hardware review,17,17,0
2009,main cite,4,4,0
2004,"tv review, radio review",170,170,0
1994,item about an individual,5141,5141,0
1994,"correction, addition",6086,6086,0
1994,hardware review,61,61,0
1995,database review,46,46,0
2007,"fiction, creative prose",768,759,9
2007,script,45,43,2
2000,"tv review, radio review",262,262,0
2000,hardware review,23,23,0
1985,database review,31,31,0
1986,"tv review, radio review, video",104,104,0
1986,bibliography,10,10,0
1988,"tv review, radio review, video",173,173,0
2001,music score,19,19,0
1989,theater review,816,816,0
1989,"fiction, creative prose",1362,1362,0
2014,meeting summary,1,1,0
2006,art exhibit review,2954,2945,9
1998,item about an individual,3,3,0
2006,excerpt,154,146,8
2012,excerpt,5,4,1
1982,item about an individual,2003,2003,0
1982,music score review,578,578,0
1999,music performance review,1617,1617,0
1999,music score review,780,780,0
1999,"tv review, radio review",218,218,0
1983,script,140,140,0
1984,"tv review, radio review, video",131,131,0
1984,music score,29,29,0
2019,database review,2,0,2
2019,press digest,2,1,1
2014,article,1445424,149077,1296347
2016,article,1642167,146458,1495709
2011,article,1267215,198873,1068342
2006,article,977991,297372,680619
2000,article,797564,780479,17085
2015,correction,18019,2787,15232
2010,article,1190752,212467,978285
2011,book review,74960,55139,19821
2014,review,80281,4971,75310
1995,article,667842,666716,1126
1997,article,756554,755007,1547
2011,editorial material,99357,38791,60566
1989,note,49517,49423,94
1975,article,20451,20206,245
2000,review,33635,32676,959
1980,article,437632,436815,817
1980,correction,301,292,9
2007,editorial material,81151,44931,36220
2007,review,55688,16126,39562
1986,note,49381,49246,135
1986,review,15226,15190,36
2006,editorial material,75732,44140,31592
2014,news item,17161,12325,4836
1986,meeting abstract,138397,138397,0
1987,review,15887,15852,35
2006,book review,71606,63159,8447
2014,biographical-item,4238,2028,2210
2007,meeting abstract,238721,230752,7969
2001,letter,41313,40499,814
2003,book review,71267,68033,3234
1966,editorial material,1171,1140,31
1929,article,1441,1323,118
1992,letter,42975,42781,194
2012,news item,19619,14327,5292
2016,hardware review,7,4,3
1997,meeting abstract,119208,119208,0
2000,biographical-item,5573,5554,19
1986,letter,38437,38140,297
1965,article,27201,26922,279
1980,review,7954,7918,36
1973,correction,236,222,14
1995,book review,89977,89969,8
1997,biographical-item,1264,1263,1
1989,editorial material,32750,32656,94
1991,letter,41846,41631,215
2016,database review,16,11,5
1980,meeting abstract,100854,100854,0
1964,letter,740,730,10
1976,correction,171,163,8
1969,note,5654,5600,54
1965,meeting abstract,2838,2642,196
1986,correction,459,440,19
1945,article,1807,1655,152
2015,music performance review,915,913,2
1979,meeting abstract,600,600,0
1923,review,31,31,0
1967,review,528,521,7
1971,editorial material,1734,1695,39
1963,meeting abstract,693,586,107
1968,abstract of published item,55,55,0
2013,bibliography,98,58,40
1981,book review,75483,75483,0
1968,biographical-item,145,143,2
1968,discussion,114,102,12
1967,correction,238,233,5
2018,news item,16121,11594,4527
2017,record review,1403,1370,33
2018,art exhibit review,1475,1385,90
1959,editorial material,458,447,11
1959,meeting abstract,46,46,0
1958,editorial material,644,632,12
1954,article,4852,4669,183
1975,discussion,39,32,7
